Index,19,10,16,Query,Document
0,Relevant,Not Relevant,Relevant,Planninga trip to Argentina,"Hello, from Argentina - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=107743&start=1)"
1,Relevant,Relevant,Relevant,Planninga trip to Argentina," S.America itinerary help, starting Oct 15 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=105798&start=1)"
2,Relevant,Relevant,Relevant,Planninga trip to Argentina,Bike from Alaska to Argentina 2018 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=107550&start=1)
3,Not Relevant,Not Relevant,Not Relevant,Planninga trip to Argentina,Tipping - Travellerspoint TravelForums (https://www.travellerspoint.com/forum.cfm?thread=102673&start=1)
4,Relevant,Relevant,Not Relevant,Planninga trip to Argentina,Self Drive from BsAs to Tierra del Fuego - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=108786&start=1)
5,Relevant,Relevant,Relevant,Planninga trip to Argentina,Argentina  - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=113304&start=1)
6,Relevant,Not Relevant,Relevant,Planninga trip to Argentina,Argentina to Brazil - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=111216&start=1)
7,Not Relevant,Relevant,Relevant,Planninga trip to Argentina,Best Route Around South America? - Travellerspoint Travel Forums  (https://www.travellerspoint.com/forum.cfm?thread=105701&start=1)
8,Relevant,Relevant,Relevant,Planninga trip to Argentina,Climbing Argentina November 2015 - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=106180&start=1)
9,Relevant,Relevant,Relevant,Planninga trip to Argentina,Argentina- Christmas and New Years  - Travellerspoint Travel Forums (https://www.travellerspoint.com/forum.cfm?thread=105885&start=1)
10,Not Relevant,Not Relevant,Relevant,Rome,First time in Italy- what are some must buys? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/first-time-in-italy-what-are-some-must-buys)
11,Relevant,Relevant,Relevant,Rome,Eating low carb in Rome!... - Rick Steves Travel Forum' (https://community.ricksteves.com/travel-forum/italy/eating-low-carb-in-rome)
12,Not Relevant,Not Relevant,Not Relevant,Rome,Air BNB's - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/air-bnb-s)
13,Not Relevant,Not Relevant,Not Relevant,Rome,"Denmark, RS MSV tour and Prague Sept/Oct 2017 - Rick Steves Travel Forum  (https://community.ricksteves.com/travel-forum/trip-reports/denmark-rs-msv-tour-and-prague-sept-oct-2017)"
14,Not Relevant,Not Relevant,Not Relevant,Rome,Meeting Local Strangers While Traveling - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/meeting-local-strangers-while-traveling)
15,Relevant,Not Relevant,Not Relevant,Rome,Overheard in Firenze - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/overheard-in-firenze)
16,Not Relevant,Relevant,Relevant,Rome,Fear & Loathing of Chunks/Pieces of Tomatoes in Italy - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/fear-loathing-of-chunks-and-pieces-of-tomatoes)
17,Not Relevant,Not Relevant,Not Relevant,Rome,France just aint worth the hassle anymore - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/france-just-aint-worth-the-hassle-anymore)
18,Not Relevant,Not Relevant,Not Relevant,Rome,Poland - First Trip  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/poland-first-trip)
19,Not Relevant,Relevant,Not Relevant,Rome,Can I bring back cheese and olive oil in checked baggage? - Rick Steves Travel Forum  (https://community.ricksteves.com/travel-forum/italy/can-i-bring-back-cheese-and-olive-oil-in-checked-baggage)
20,Relevant,Relevant,Relevant,Vietnam Hanoi to Hue,Suggestions on my Vietnam Itinerary? - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/suggestions-on-my-vietnam-itinerary-1661625/)
21,Relevant,Relevant,Relevant,Vietnam Hanoi to Hue,Vietnam itinerary - help gratefully accepted - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/vietnam-itinerary-help-gratefully-accepted-1479374/)
22,Relevant,Relevant,Relevant,Vietnam Hanoi to Hue,Trip Report Halfway Trip Report - Vietnam - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/halfway-trip-report-vietnam-830047/)
23,Relevant,Relevant,Relevant,Vietnam Hanoi to Hue,"Vietnam Itinerary & questions, questions, questions - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/vietnam-itinerary-and-questions-questions-questions-862883/)"
24,Relevant,Relevant,Not Relevant,Vietnam Hanoi to Hue,Vietnam in March 2019 - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/vietnam-in-march-2019-a-1651583/)
25,Not Relevant,Relevant,Relevant,Vietnam Hanoi to Hue,NEW proposed Itinerary: Need Comments/Feedback - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/new-proposed-itinerary-need-comments-feedback-1116979/)
26,Relevant,Relevant,Not Relevant,Vietnam Hanoi to Hue,20 Day Cambodia and Vietnam trip in August -what do you think? - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/20-day-cambodia-and-vietnam-trip-in-august-what-do-you-think-914864/)
27,Not Relevant,Not Relevant,Not Relevant,Vietnam Hanoi to Hue,Help with SEAsia itinerary - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/help-with-seasia-itinerary-1489845/)
28,Relevant,Relevant,Not Relevant,Vietnam Hanoi to Hue,"Vietnam, too much to see... - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/vietnam-too-much-to-see-1084308/)"
29,Not Relevant,Relevant,Not Relevant,Vietnam Hanoi to Hue,4 week trip to Asia - Fodor's Travel Talk Forums (https://www.fodors.com/community/asia/4-week-trip-to-asia-938908/)
30,Relevant,Relevant,Not Relevant,Oktoberfest,Munich S-Bahn Advice - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/munich-s-bahn-advice)
31,Not Relevant,Not Relevant,Not Relevant,Oktoberfest,Non Alcoholic trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/food-drink/non-alcoholic-trip)
32,Relevant,Relevant,Not Relevant,Oktoberfest,Munich Hotel Uhland or Hotel Am Viktualienmarkt  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/munich-hotel-uhland-or-hotel-am-viktualienmarkt)
33,Relevant,Relevant,Not Relevant,Oktoberfest,"Germany, Austria, and Italy Itinerary - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/germany-austria-and-italy-itinerary)"
34,Relevant,Relevant,Relevant,Oktoberfest,Oktoberfest - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/oktoberfest-d921e47b-eeac-4a24-ae53-98256d192183)
35,Relevant,Relevant,Not Relevant,Oktoberfest,Small town north of Munich airport  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/small-town-north-of-munich-airport)
36,Relevant,Relevant,Relevant,Oktoberfest,Germany newbies - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/germany-newbies)
37,Not Relevant,Not Relevant,Not Relevant,Oktoberfest,Air BNB's - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/air-bnb-s).1
38,Not Relevant,Not Relevant,Relevant,Oktoberfest,Itinerary Suggestions/Recommendations  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/itinerary-suggestions-recommendations)
39,Relevant,Relevant,Not Relevant,Oktoberfest,Munich Christmas markets in November - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/munich-christmas-markets-in-november)
40,Relevant,Relevant,Relevant,Boat trip,Crossing Atlantic - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/crossing-atlantic)
41,Not Relevant,Not Relevant,Not Relevant,Boat trip,Top of the Mountain with Limited Mobility - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/switzerland/top-of-the-mountain-with-limited-mobility)
42,Not Relevant,Not Relevant,Not Relevant,Boat trip,Milan - Parking vs Taxi - Costs - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/milan-parking-vs-taxi-costs)
43,Not Relevant,Relevant,Not Relevant,Boat trip,First time to Paris with 2 kids (please critique our itinerary) - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/first-time-to-paris-with-2-kids-please-critique-our-itinerary)
44,Relevant,Not Relevant,Not Relevant,Boat trip,Norway in May/June 2019 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/norway/norway-in-may-june-2019)
45,Not Relevant,Not Relevant,Not Relevant,Boat trip,A happy place on a dreary Sunday - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/a-happy-place-on-a-dreary-sunday)
46,Not Relevant,Not Relevant,Not Relevant,Boat trip,Oh my gosh! Please help us with Black Forest itinerary! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/oh-my-gosh-please-help-us-with-black-forest-itinerary)
47,Relevant,Not Relevant,Not Relevant,Boat trip,Suggestions on outdoorsy mother/teen daughter trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/suggestions-on-outdoorsy-mother-teen-daughter-trip)
48,Relevant,Not Relevant,Not Relevant,Boat trip,Second guessing hotel in Venice - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy-reviews/second-guessing-hotel-in-venice)
49,Relevant,Not Relevant,Not Relevant,Boat trip,10 Days in Scotland (Mostly) Solo - Glasgow and Glenfinnan (with a brief foray to Edinburgh) - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/10-nights-in-scotland-mostly-solo-glasgow-and-glenfinnan-with-a-brief-foray-to-edinburgh)
50,Not Relevant,Not Relevant,Not Relevant,Art,Claudia’s UK Adventures - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/claudia-s-uk-adventures)
51,Not Relevant,Not Relevant,Not Relevant,Art,Trip to England in June 2019 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/trip-to-england-in-june-2019)
52,Relevant,Relevant,Relevant,Art,France - History and Art - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/books-movies/france-history-and-art)
53,Relevant,Relevant,Relevant,Art,Italy too much to see!  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/italy-too-much-to-see)
54,Not Relevant,Not Relevant,Not Relevant,Art,Keep trying new places or stick with what you know works - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/keep-trying-new-places-or-stick-with-what-you-know-works)
55,Not Relevant,Not Relevant,Not Relevant,Art,Non Alcoholic trip? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/food-drink/non-alcoholic-trip).1
56,Not Relevant,Not Relevant,Not Relevant,Art,"Oh, to be in London! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/trip-reports/oh-to-be-in-london)"
57,Not Relevant,Relevant,Relevant,Art,Europe from Brussels to Venice and more - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/europe-from-brussels-to-venice-and-more)
58,Not Relevant,Not Relevant,Not Relevant,Art,Stay in or cruise for St. Petersburg? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/russia/stay-in-or-cruise-for-st-petersburg)
59,Relevant,Not Relevant,Not Relevant,Art,First time in Italy- what are some must buys? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/first-time-in-italy-what-are-some-must-buys).1
60,Not Relevant,Not Relevant,Not Relevant,Japan,Travel after knee replacement - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/travel-after-knee-replacement)
61,Not Relevant,Not Relevant,Not Relevant,Japan,Keep trying new places or stick with what you know works - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/keep-trying-new-places-or-stick-with-what-you-know-works).1
62,Not Relevant,Not Relevant,Not Relevant,Japan,Allbirds - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/best-travel-shoes/allbirds)
63,Relevant,Relevant,Relevant,Japan,Walks of Japan - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/walks-of-japan)
64,Not Relevant,Not Relevant,Not Relevant,Japan,Air BNB's - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/air-bnb-s).2
65,Not Relevant,Not Relevant,Not Relevant,Japan,Best Camera to bring? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/tech-tips/best-camera-to-bring)
66,Not Relevant,Not Relevant,Not Relevant,Japan,GoogleFi - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/tech-tips/googlefi)
67,Relevant,Not Relevant,Not Relevant,Japan,Long term travel questions - roving retirement - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/long-term-travel-questions-roving-retirement)
68,Not Relevant,Not Relevant,Not Relevant,Japan,Help us find a family trip !  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/help-us-find-a-family-trip)
69,Relevant,Not Relevant,Not Relevant,Japan,Newly Retired & Need Destination Recommendations for a Month-Long Adventure - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/newly-retired-need-destination-recommendations-for-a-month-long-adventure)
70,Relevant,Relevant,Relevant,Oslo,Hotels near Oslo airport - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/norway/hotels-near-oslo-airport)
71,Not Relevant,Not Relevant,Not Relevant,Oslo,Aero or more time in Copenhagen? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/denmark/aero-or-more-time-in-copenhagen)
72,Not Relevant,Relevant,Relevant,Oslo,Best stroller friendly cities in Europe/where to go with a toddler? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/best-stroller-friendly-cities-in-europe-where-to-go-with-a-toddler)
73,Not Relevant,Relevant,Not Relevant,Oslo,Is Sweden safe to travel in? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/sweden/is-sweden-safe-to-travel-in)
74,Not Relevant,Relevant,Not Relevant,Oslo,Summer in Europe - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/summer-in-europe)
75,Not Relevant,Not Relevant,Not Relevant,Oslo,Germany in June 2019 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/germany-in-june-2019)
76,Not Relevant,Not Relevant,Not Relevant,Oslo,Alsace Region - Via Paris or Frankfurt - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/germany/alsace-region-via-paris-or-frankfurt-408c157f-fbbe-49f9-a920-990b08568eb8)
77,Relevant,Relevant,Not Relevant,Oslo,"Thon Hotel Bergen, Norway - great choice! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/scandinavia-reviews/thon-hotel-bergen-norway-great-choice)"
78,Relevant,Relevant,Relevant,Oslo,Navigating Scandinavia With Lighter Luggage - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/navigating-scandinavia-with-lighter-luggage)
79,Not Relevant,Not Relevant,Not Relevant,Oslo,Best of Scandinavia tour Veterans-Question! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/norway/best-of-scandinavia-tour-veterans-question)
80,Not Relevant,Not Relevant,Not Relevant,Tokyo,Seville & Madrid  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/spain/seville-madrid)
81,Relevant,Relevant,Relevant,Tokyo,Walks of Japan - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/walks-of-japan).1
82,Not Relevant,Not Relevant,Not Relevant,Tokyo,Help us find a family trip !  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/help-us-find-a-family-trip).1
83,Not Relevant,Not Relevant,Not Relevant,Tokyo,What information should be on a EMERGENCY PERSONAL ID CARDS for traveling? ( and what should not) - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/what-information-should-be-on-a-emergency-personal-id-cards-for-traveling-and-what-should-not)
84,Not Relevant,Not Relevant,Not Relevant,Tokyo,Best city to spend Christmas Day - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/best-city-to-spend-christmas-day)
85,Not Relevant,Not Relevant,Not Relevant,Tokyo,Autumn leaves in Europe - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/general-europe/autumn-leaves-in-europe)
86,Not Relevant,Not Relevant,Not Relevant,Tokyo,Cell Phones: Data Usage Verizon and others - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/england/cell-phones-data-usage-verizon-and-others)
87,Not Relevant,Not Relevant,Not Relevant,Tokyo,Hidden Gems of Paris - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/france/hidden-gems-of-paris)
88,Relevant,Relevant,Relevant,Tokyo,Phones in Japan - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/phones-in-japan)
89,Not Relevant,Not Relevant,Not Relevant,Tokyo,Researching flights to Viet Nam  - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/beyond-europe/researching-flights-to-viet-nam)
90,Relevant,Relevant,Relevant,Athens,SIM cards available at ATH - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/sim-cards-available-at-ath)
91,Relevant,Relevant,Relevant,Athens,Athens to Hydra and back or to Ermioni - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/athens-to-hydra-and-back-or-to-ermioni)
92,Relevant,Relevant,Relevant,Athens,Athens to FCO Passport Control - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/athens-to-fco-passport-control)
93,Not Relevant,Not Relevant,Relevant,Athens,Last minute change in itinerary - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/last-minute-change-in-itinerary)
94,Not Relevant,Not Relevant,Not Relevant,Athens,LA/OC travel group meeting- We’re ready to go!!! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/travel-meetings/la-oc-travel-group-meeting-we-re-ready-to-go)
95,Not Relevant,Relevant,Not Relevant,Athens,Three+ weeks: checking our itinerary - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/three-weeks-checking-our-itinerary)
96,Relevant,Relevant,Relevant,Athens,Greece tour sept 8-21 - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/greece-tour-sept-8-21)
97,Relevant,Not Relevant,Not Relevant,Athens,Booked my hotels - Thanks for everyones help! - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/greece/booked-my-hotels-thanks-for-everyones-help)
98,Not Relevant,Not Relevant,Not Relevant,Athens,Sicily for a month? - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/sicily-for-a-month-46a13ed7-eb4f-4a63-90c0-ab810a98c7a1)
99,Not Relevant,Not Relevant,Not Relevant,Athens,Packing toiletrries /What do hotels supplies. - Rick Steves Travel Forum (https://community.ricksteves.com/travel-forum/italy/packing-toiletrries-what-do-hotels-supplies)
